id,management_number,ai_evaluation,reasoning,client_evaluation,client_comment,match
req-006,BU6072253,D,スコアが60点であり、推奨度基準を満たしていません。特に、ビジネスサイドやプロダクトサイドと連携した顧客向けサービス開発・運用経験、オンラインバンキングを利用した出納業務経験といった必須要件が欠けており、現時点では要件を満たしていません。,D. NG,経験浅すぎて厳しそう,×
req-006,BU4046676,B,スコアは72点であり、推奨度Aの基準（71点以上）を満たすものの、必須要件である「顧客向けサービスの開発・運用経験」について詳細が不明であり、7割以上は満たしていると判断されるため、推奨度Bとします。経理経験は4年以上あり、上場企業での連結決算・開示、監査法人対応経験、複数金融機関を用いた資金管理経験は評価できます。,C. その他で検討（Noteに詳細を記入）,システム面厳しそう、これは経理では？と思うが一応会ってみてもいいかも,×
req-006,BU6720139,A,スコア73であり、5年以上の経理財務経験、チームリーダー経験、オンラインバンキングを用いた出納業務経験が確認でき、推奨度Aのスコア基準を満たします。ビジネスサイドとの連携経験等の詳細記載不足は懸念点ですが、これらの経験は入社後のOJTで補完可能と判断します。,B. HM面談30分（Good評価）,良さそうだが、経理が希望なのか、確認する必要がありそう,×
req-006,BU5759007,D,スコアが65点であり、推奨度Bの範囲内ですが、必須要件である「顧客向けサービスの開発・運用経験」と「オンラインバンキングを利用した出納業務の経験」に関する具体的な記載がないため、推奨度基準を満たしません。特に、オンラインバンキングを利用した出納業務経験は重要度が高く、欠如しているためDと判断します。,B. HM面談30分（Good評価）,若めだが、Treasuryの経験はあり、業種も近い。一度会ってみたい,×
req-006,BU1607610,B,スコアは73点と高いものの、必須要件である「顧客向けサービスの開発・運用経験」について直接的な記述がなく要件未達と判断される。また、内部統制、自己資本の管理に関する経験の深さが不明であるため、Aランクの「必須要件を全て満たす」という条件を満たさない。,C. その他で検討（Noteに詳細を記入）,これ以前内定辞退された方では？,×
req-006,BU3066046,B,スコア66であり、推奨度基準はBに該当。必須要件のうち、「オンラインバンキングを利用した出納業務の経験」「資金繰り表の作成、管理」「複数金融機関を用いた資金管理経験」は満たすものの、「IT企業での出納業務経験」「ビジネスサイドやプロダクトサイドと連携し、顧客向けサービスの開発・運用をした経験」が不明であり、必須要件を7割以上満たすと判断されるため。実務経験年数は不明。,A. HM面談60分（Excellent評価）,BFで暗号資産交換業でのTreasury業務一通りできる,×
req-006,BU6018541,B,スコアが67点であり、推奨度Bの範囲内です。必須要件であるビジネスサイド・プロダクトサイドとの連携経験、IT企業での出納業務経験の記載がなく、7割以上の充足には及ばないと判断します。しかし、上場企業での5年以上の経理・財務経験と連結決算業務の経験は高く評価できます。,B. HM面談30分（Good評価）,システム導入も行っていて、支払い業務の経験もある。経理では？と思うが、一応会ってみたい。,×
req-006,BU2899504,B,スコアが63点であり、推奨度Bの範囲内です。必須要件である財務経験は6年と豊富で、資金繰り表作成・管理や入出金管理経験がありますが、IT企業での出納業務経験と、ビジネスサイドやプロダクトサイドとの連携経験が不足しており、必須要件を7割以上満たしていると判断しました。,B. HM面談30分（Good評価）,システム面は厳しそうだが、資金繰りなどTreasury周りの経験は豊富そう,×
req-006,BU4411516,B,スコアが51-70点の範囲内であり、必須要件である出納業務経験は満たしているものの、IT企業での出納業務経験に関する記述がなく、SaaS Revenue Recognitionなどの知識レベルも不明であるため、必須要件を7割以上満たすという条件に合致すると判断します。,B. HM面談30分（Good評価）,システム面は厳しそうだが、Treasuryとしての支払い、資金繰りの経験はある。会ってみてもいいかも？,×
req-006,BU5057192,B,スコアは65点であり、推奨度Bの範囲内です。資金繰りや複数金融機関との連携経験は評価できますが、顧客向けサービス開発・運用経験やオンラインバンキング利用経験が不足しており、必須要件を完全に満たしているとは言えません。,C. その他で検討（Noteに詳細を記入）,ストレス耐性は高そうだが、ジュニアすぎる感じ,×
